spirit_name,spirit_price,spirit_stock,spirit_category,Img,Date
Patron Tequila Silver 750ml,468.0,4,tequila,https://cellarmasterwines.com/cdn/shop/products/PatronSilver750ml_1024x_39ce485d-2a12-4d43-8013-b9363a0f1c19_533x.png?v=1609251999,2024-08-18
Don Julio Blanco Tequila 750ml,499.0,35,tequila,https://cellarmasterwines.com/cdn/shop/products/DonJulioBlanco_533x.png?v=1661960175,2024-08-18
Don Julio Resposado Tequila 700ml,588.0,3,tequila,https://cellarmasterwines.com/cdn/shop/files/DonJulioResposado_ca6a72d8-f553-40fe-822f-7ae47a19e697_533x.png?v=1692858198,2024-08-18
Patron Tequila Reposado 750ml,588.0,11,tequila,https://cellarmasterwines.com/cdn/shop/files/2ndbatchwinenotimageupdate_87_1024x1024_2x_1ccbfa5c-f819-405a-8b8d-1d54755993d0_533x.webp?v=1713855071,2024-08-18
Casamigos Blanco Tequila 700ml,598.0,999,tequila,https://cellarmasterwines.com/cdn/shop/products/CasamigosBlanco_533x.png?v=1661954638,2024-08-18
Patron Tequila Anejo 750ml,599.0,9,tequila,https://cellarmasterwines.com/cdn/shop/files/3rdbatchwinenotimageupdate_2_1024x1024_2x_2260a0c4-45d2-4d65-a72e-93e5e80a5833_533x.webp?v=1713854892,2024-08-18
Cayeya Blanco Tequila 700ml,628.0,999,tequila,https://cellarmasterwines.com/cdn/shop/files/Cayeya-Blanco-Tequila-700mL_533x.jpg?v=1713752750,2024-08-18
Casamigos Resposado Tequila 700ml,648.0,999,tequila,https://cellarmasterwines.com/cdn/shop/products/CasamigosResposado_533x.png?v=1661956943,2024-08-18
Casamigos Anejo Tequila 700ml,698.0,999,tequila,https://cellarmasterwines.com/cdn/shop/products/Casamigosanejo_533x.png?v=1661957239,2024-08-18
Don Julio Anejo Tequila 750ml,798.0,999,tequila,https://cellarmasterwines.com/cdn/shop/products/DonJulioAnejo_533x.png?v=1661965426,2024-08-18
Cayeya Single Barrel Reposado Tequila 700ml (with giftbox),1688.0,999,tequila,https://cellarmasterwines.com/cdn/shop/files/CayeyaReposado_533x.png?v=1713758189,2024-08-18
Don Julio 1942 Tequila 750ml,1798.0,13,tequila,https://cellarmasterwines.com/cdn/shop/products/DonJulio1942_533x.png?v=1702975391,2024-08-18
Clase Azul Reposado 750ml,1999.0,6,tequila,https://cellarmasterwines.com/cdn/shop/files/ClaseAzulReposado_533x.jpg?v=1702974208,2024-08-18
Cayeya Single Barrel Anejo Tequila 700ml (with giftbox),2188.0,999,tequila,https://cellarmasterwines.com/cdn/shop/files/CayeyaAnejo_533x.jpg?v=1713758479,2024-08-18
Clase Azul Mezcal Durango 700ml,4998.0,999,tequila,https://cellarmasterwines.com/cdn/shop/files/978B4D23-140F-4AAF-9D04-8E9706103566_533x.webp?v=1718370900,2024-08-18
Ardbeg 10 Years Islay Single Malt Scotch Whisky 700ml,648.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/2120-1500x1500_533x.jpg?v=1670244562,2024-08-18
"Ardbeg An Oa ""The Ultimate"" Single Malt Scotch Whisky 700ml",788.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/WhatsAppImage2023-01-17at11.42.43AM_533x.jpg?v=1673927925,2024-08-18
"Ardbeg An Oa ""The Ultimate"" Single Malt Scotch Whisky 700ml (with BBQ Smoker)",699.0,1,whisky,https://cellarmasterwines.com/cdn/shop/products/Screenshot2023-01-19at4.03.39PM_533x.png?v=1706451551,2024-08-18
"Ardbeg Corryvreckan ""The Ultimate"" Single Malt Scotch Whisky 700ml",1288.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/WhatsAppImage2023-01-17at11.42.42AM_1_533x.jpg?v=1673928559,2024-08-18
"Ardbeg Uigeadail ""The Ultimate"" Single Malt Scotch Whisky 700ml",998.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/WhatsAppImage2023-01-17at11.42.42AM_533x.jpg?v=1673928376,2024-08-18
Ardbeg Wee Beastie 5 Year Old Single Malt Whisky 700ml,498.0,3,whisky,https://cellarmasterwines.com/cdn/shop/products/shopping_533x.webp?v=1670244327,2024-08-18
Auchentoshan 12 Year Old Single Malt Scotch Whisky,488.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/12YOdelicate_SQUARE_bottle_box_533x.png?v=1670576031,2024-08-18
Bowmore 12 Year Old Scotch Whisky,488.0,9,whisky,https://cellarmasterwines.com/cdn/shop/products/12-year-old-large_533x.png?v=1670575682,2024-08-18
Chivas Regal Scotch Whisky 750ml,229.0,2,whisky,https://cellarmasterwines.com/cdn/shop/files/Chivas-Regal-12YO-700ml-Bayfields-Liquor-Superstore_533x.png?v=1700102717,2024-08-18
Claymore Scotch Whisky Scotland 1L,78.0,20,whisky,https://cellarmasterwines.com/cdn/shop/files/WhatsApp_Image_2024-07-16_at_6.55.47_PM_533x.jpg?v=1721126358,2024-08-18
Conciere Whiskey 1L,158.0,999,whisky,https://cellarmasterwines.com/cdn/shop/files/Conciere_BlendedWhiskey_533x.png?v=1722914404,2024-08-18
Dalwhinnie 15 YO Highland Single Malt Whisky 700ml,528.0,1,whisky,https://cellarmasterwines.com/cdn/shop/products/ScreenShot2021-06-03at4.08.17PM_533x.png?v=1622707733,2024-08-18
Fireball Cinnamon Whisky 1000ml,218.0,0,whisky,https://cellarmasterwines.com/cdn/shop/files/FIREBALL-1000ML-SQ-1536x1536_533x.png?v=1719993802,2024-08-18
Glenfiddich 18 Year Old Single Malt Scotch Whisky 700ml,768.0,11,whisky,https://cellarmasterwines.com/cdn/shop/products/glenfid18_533x.jpg?v=1660207617,2024-08-18
Glenlivet 12 Year Old Single Malt Scotch Whisky - 700ml,399.0,0,whisky,https://cellarmasterwines.com/cdn/shop/products/WhatsAppImage2023-03-04at4.16.11AM_533x.jpg?v=1677923671,2024-08-18
Glenmorangie 18YO Extremely Rare Highland Single Malt Whisky 700ml,1298.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/Glenmorangie18yo_533x.png?v=1622711436,2024-08-18
Glenmorangie Signet Highland Single Malt Whisky 700ml,1898.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/Glenmorangiesiignet_533x.png?v=1622711906,2024-08-18
Glenmorangie Single Malt The Lasanta 12 Year Old 700ml,588.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/TheLasanta_533x.jpg?v=1670300745,2024-08-18
Glenmorangie The Nectar d’Or 700ml,628.0,6,whisky,https://cellarmasterwines.com/cdn/shop/products/GlenmorangieNectar_533x.jpg?v=1706452859,2024-08-18
Glenmorangie The Original 10 Year Old Single Malt Scotch Whisky 750ml,348.0,999,whisky,https://cellarmasterwines.com/cdn/shop/files/WhatsAppImage2024-03-11at14.53.36_533x.jpg?v=1710140601,2024-08-18
Glenmorangie The Quinta Ruban 14 Years Single Malt Whisky 700ml,688.0,999,whisky,https://cellarmasterwines.com/cdn/shop/products/quintaruban14png-1500x1500_533x.png?v=1670300116,2024-08-18
Hakushu 12 Years Old Single Malt Japanese Whisky 700ml,2598.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/hakushu_12yr_with_giftbox_533x.png?v=1623128887,2024-08-18
Hakushu Distiller's Reserve Single Malt Japanese Whisky 700ml,788.0,4,whisky,https://cellarmasterwines.com/cdn/shop/products/HakushuDistiller_sReserveSingleMaltJapaneseWhisky700ml_533x.jpg?v=1644910802,2024-08-18
Hibiki 17 Year Old Japanese Blended Whisky 700mL,5498.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/Hibiki-17-Year-Old-Japanese-Blended-Whisky-700mL_533x.jpg?v=1653323105,2024-08-18
Hibiki 17 Year Old ”Kacho Fugetsu 花鳥風月“ Blended Japanese Whisky Limited Edition 700ml,24998.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/hibiki17.painted_533x.jpg?v=1652351142,2024-08-18
Hibiki Suntory Harmony Japanese Whisky 700ml,1088.0,2,whisky,https://cellarmasterwines.com/cdn/shop/products/HibikiHarmony_533x.png?v=1622715312,2024-08-18
Jameson Irish Whisky 750ml,218.0,12,whisky,https://cellarmasterwines.com/cdn/shop/files/5131FDD2-BDEE-4C50-9285-314340B55D74_533x.png?v=1718426560,2024-08-18
Johnnie Walker Black Label Scotch Whisky 1 Litre,318.0,9,whisky,https://cellarmasterwines.com/cdn/shop/products/JohnnieWalkerBlackLabel1000ml_480x_9978b5ec-c62e-4423-a0d7-0449ab85463f_533x.webp?v=1650955515,2024-08-18
Johnnie Walker Black Label Scotch Whisky 750ml,239.0,25,whisky,https://cellarmasterwines.com/cdn/shop/files/D3A0626B-EC25-4D74-80D2-BF1082196E69_533x.jpg?v=1700372763,2024-08-18
